date,close,high,low,volume,code
2017-09-11 14:10,8.71,8.73,8.71,429.0,000529
2017-09-11 14:15,8.73,8.73,8.71,163.0,000529
2017-09-11 14:20,8.73,8.73,8.72,539.0,000529
2017-09-11 14:25,8.73,8.73,8.72,156.0,000529
2017-09-11 14:30,8.73,8.74,8.72,205.0,000529
2017-09-11 14:35,8.73,8.74,8.73,450.0,000529
2017-09-11 14:40,8.74,8.74,8.73,654.0,000529
2017-09-11 14:45,8.74,8.75,8.74,451.0,000529
2017-09-11 14:50,8.75,8.75,8.73,974.0,000529
2017-09-11 14:55,8.75,8.76,8.74,1340.0,000529
2017-09-11 15:00,8.76,8.76,8.75,667.0,000529
2017-09-12 09:35,8.74,8.79,8.74,427.0,000529
2017-09-12 09:40,8.72,8.75,8.72,377.0,000529
2017-09-12 09:45,8.74,8.74,8.72,337.0,000529
2017-09-12 09:50,8.73,8.75,8.72,502.0,000529
2017-09-12 09:55,8.72,8.74,8.72,686.0,000529
2017-09-12 10:00,8.72,8.73,8.71,621.0,000529
2017-09-12 10:05,8.71,8.74,8.71,2235.0,000529
2017-09-12 10:10,8.72,8.75,8.71,496.0,000529
2017-09-12 10:15,8.71,8.74,8.71,453.0,000529
2017-09-12 10:20,8.72,8.74,8.71,322.0,000529
2017-09-12 10:25,8.73,8.73,8.72,466.0,000529
2017-09-12 10:30,8.72,8.73,8.72,680.0,000529
2017-09-12 10:35,8.72,8.73,8.71,1315.0,000529
2017-09-12 10:40,8.72,8.72,8.7,386.0,000529
2017-09-12 10:45,8.74,8.74,8.72,1327.0,000529
2017-09-12 10:50,8.72,8.74,8.72,875.0,000529
2017-09-12 10:55,8.72,8.73,8.72,418.0,000529
2017-09-12 11:00,8.72,8.74,8.72,1018.0,000529
2017-09-12 11:05,8.71,8.73,8.71,410.0,000529
2017-09-12 11:10,8.71,8.72,8.71,718.0,000529
2017-09-12 11:15,8.72,8.72,8.71,299.0,000529
2017-09-12 11:20,8.71,8.72,8.7,365.0,000529
2017-09-12 11:25,8.71,8.73,8.71,216.0,000529
